Carina             06 41 36.7 -50 57 58  0.76 62     0.00  -9.0 26.8  6.54       < 2.32  -52  2.6 Milky Way        2.8  1.74
IC2171             06 44 27.3 -17 55 57  7.59 81  47 0.14 -16.7 24.0  9.05  9.29   8.38  572  1.6 NGC2283          1.6  0.62
NGC2283            06 45 52.7 -18 12 37 14.96 41 119 0.15 -18.9 23.3  9.84 10.39   9.44  622  1.3 KKSG9            1.4 -0.04
KKSG9              06 46 56.9 -17 56 29  2.17 52 102 0.16 -15.7 22.3  8.72  9.42   8.64  474  2.4 NGC2283          2.5  0.65
KKH37              06 47 45.8 +80 07 26  1.20 55     0.00 -11.6 25.1  6.88         6.70  214  0.0 MESSIER081       0.3  1.98
KKH38              06 47 54.9 +47 30 50  8.24 68  27 0.00 -14.4 26.5  8.02  8.83   8.74  518 -2.6 IC0356          -2.1
UGC03600           06 55 40.0 +39 05 42  4.19 70  38 0.00 -13.5 25.9  7.76  8.84   7.78  421 -1.9 NGC2683         -1.4 -0.98
HIZSS003           07 00 29.3 -04 12 30  0.66 62  34 0.00 -12.8 22.6  7.36  7.96   7.25  118 -1.1 MESSIER031      -0.7
FG202              07 05 17.1 -58 31 14  3.01 76  29 0.00 -14.0 24.7  7.86  8.48   8.27  279 -1.9 NGC5128         -1.3 -1.10
HIPASS J0705-20    07 05 45.0 -20 59 30                                            8.21  528 -0.7 HIZSS008        -0.4  0.87
ESO558-011         07 06 56.8 -22 02 26  6.20 57  65 0.14 -17.0 23.3  9.14  9.48   8.07  489 -1.3 HIZSS008        -1.0
UGC03698           07 09 18.8 +44 22 48  2.66 62  16 0.00 -14.3 24.1  7.98  7.91   7.86  464 -1.4 NGC2337         -1.1 -0.19
NGC2337            07 10 13.6 +44 27 25  6.77 47  88 0.11 -16.5 24.0  8.98  9.78   8.60  476 -1.8 NGC2683         -1.3 -0.69
UGC03755           07 13 51.8 +10 31 19  4.27 63  13 0.00 -15.7 23.8  8.40  7.95   8.25  186 -2.2 NGC2683         -1.7
UGC03817           07 22 44.5 +45 06 30  4.62 72  13 0.00 -14.1 25.5  8.43  7.97   8.17  478 -1.6 NGC2337         -1.1 -0.27
HIZSS008           07 25 22.0 -24 28 31 10.56 66  65 0.20 -18.8 22.7  9.87  9.71   8.71  542 -0.1 HIZSS012        -0.1  0.52
DDO043             07 28 17.2 +40 46 13  2.45 53  17 0.00 -13.9 24.3  7.61  7.90   7.85  370 -1.6 MESSIER081      -1.2
NGC2366            07 28 54.6 +69 12 19  6.68 90  43 0.05 -16.1 24.4  8.67  9.16   8.61  251  1.0 NGC2403          1.1  1.89
HIZSS012           07 30 08.3 -22 01 01 35.87 61 139 0.42 -18.6 25.5  9.71 10.91   9.02  525  0.0 HIZSS008         0.1  0.66
ESO059-001         07 31 19.3 -68 11 10  3.23 40  57 0.04 -15.0 23.9  8.15  9.09   7.98  247 -1.6 CIRCINUS        -1.1 -1.40
DDO044             07 34 11.3 +66 53 10  2.72 62     0.00 -12.1 26.4  7.78       < 6.02  356  2.3 NGC2403          2.3  1.88
AGC174585          07 36 10.3 +09 59 11  0.72 60   3 0.00 -11.2 24.4  6.73  5.85   6.68  217 -2.1 NGC2683         -1.6 -2.61
