COCD|Name             |  GLON|   GLAT|Dist|E(B-V)|logt|  r1|  r2|Sol|Sam| N2|  rc|e_rc|  rt|e_rt|   k| e_k| logM|e_logM
 294|vdBergh-Hagen 121|294.81|  -1.62|2735|0.29  |6.64|0.08|0.25|2  |3  | 12|12.2|7.6 |15.0| 2.1| 0.6| 0.4|3.169|0.183
 298|Loden 481        |295.84|   0.77|1520|0.24  |8.19|0.09|0.28|4  |1  | 11| 3.9|1.8 |10.2| 1.5| 0.6| 0.1|2.650|0.191
 300|Ruprecht 98      |297.30|  -2.28| 610|0.16  |8.78|0.10|0.35|4  |1  | 18| 3.1|1.1 | 6.0| 0.6| 3.1| 0.6|1.922|0.140
 308|Melotte 111      |222.43|  83.40|  87|0.00  |8.78|1.50|4.00|4  |2  | 44| 1.5|0.2 | 8.7| 0.7| 4.9| 0.4|2.391|0.117
 309|NGC 4349         |299.73|   0.84|2176|0.38  |8.32|0.10|0.22|4  |4  | 39| 1.8|0.6 |11.2| 1.3| 2.9| 1.0|2.804|0.153
 317|Loden 694        |303.12|   2.12|1700|0.24  |7.38|0.12|0.30|3  |2  | 19|10.8|5.6 |10.8| 1.0| 2.7| 2.1|2.743|0.132
 319|NGC 4852         |304.03|   3.27|1330|0.25  |8.63|0.09|0.20|4  |4  | 34| 1.5|0.6 | 5.0| 0.8| 8.4| 2.2|1.727|0.217
 320|NGC 5045         |305.47|  -0.63|1500|0.37  |7.11|0.15|0.38|2  |3  | 10| 2.6|1.6 | 9.0| 1.6| 0.6| 0.3|2.508|0.232
 324|Loden 821        |307.02|   2.83|2800|0.50  |7.29|0.08|0.20|3  |3  | 12| 2.3|1.9 | 9.4| 2.2| 0.7| 0.4|2.622|0.300
 335|Loden 1010       |309.51|   1.94| 700|0.20  |8.69|0.09|0.25|2  |3  | 11| 0.9|0.5 | 3.8| 1.0| 4.1| 2.0|1.340|0.349
 337|Platais 12       |309.71|  -1.30| 435|0.10  |8.23|0.25|1.25|1  |1  | 57|12.2|2.0 |18.2| 1.2| 1.3| 0.4|3.380|0.097
 338|NGC 5316         |310.22|   0.12|1215|0.27  |8.19|0.10|0.28|4  |4  | 43| 1.7|0.4 | 9.3| 1.5| 4.2| 1.0|2.544|0.212
 343|Ruprecht 110     |309.95|  -5.61|1300|0.00  |8.74|0.10|0.23|1  |4  | 14| 3.4|1.6 | 8.1| 1.6| 1.3| 0.4|2.365|0.258
 345|NGC 5460         |315.74|  12.64| 673|0.09  |8.31|0.20|0.38|4  |1  | 20| 1.2|0.5 | 8.1| 2.8| 3.1| 1.0|2.337|0.446
 347|Ruprecht 167     |313.91|   2.04|2000|0.10  |8.57|0.10|0.21|3  |3  | 10| 1.4|1.2 | 6.8| 1.8| 1.5| 1.2|2.196|0.340
