# Results from heasarc_mwsc : Milky Way Star Clusters Catalog
# Coordinate system :  Equatorial
# source :  https://heasarc.gsfc.nasa.gov/db-perl/W3Browse/w3table.pl?tablehead=name%3Dmwsc&Action=More+Options
# notes : queried for Dec < +35 deg
|name             |ra      |dec     |core_radius|central_radius|cluster_radius|rad_vel |rad_vel_error|distance|log_age|log_age_error|cluster_type|class                                              |
|NGC 6656         |18 36 24|-23 54.3|      0.040|         0.210|         0.355| -146.30|         0.20|    3198| 10.100|             |glo         |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|NGC 2225         |06 26 37|-09 38.4|      0.018|         0.060|         0.150|        |             |    3201|  9.165|             |            |                                  OPEN STAR CLUSTER|
|FSR 1406         |08 38 17|-42 21.0|      0.010|         0.060|         0.117|        |             |    3208|  6.900|             |            |                                  OPEN STAR CLUSTER|
|ESO 334-02       |17 36 57|-42 14.1|      0.012|         0.060|         0.110|        |             |    3210|  9.200|             |            |                                  OPEN STAR CLUSTER|
|MWSC 4349        |17 27 02|-57 31.5|      0.018|         0.085|         0.150|        |             |    3210|  8.805|             |            |                                  OPEN STAR CLUSTER|
|King 23          |07 21 47|-00 59.0|      0.020|         0.085|         0.140|        |             |    3211|  8.950|             |            |                                  OPEN STAR CLUSTER|
|FSR 1642         |13 22 48|-73 34.5|      0.015|         0.080|         0.130|        |             |    3211|  9.500|             |            |                                  OPEN STAR CLUSTER|
|Koposov 63       |06 10 02|+24 33.0|      0.015|         0.060|         0.100|        |             |    3220|  9.220|        0.016|            |                                  OPEN STAR CLUSTER|
|NGC 6525         |18 02 04|+11 01.0|      0.018|         0.090|         0.160|        |             |    3221|  9.450|             |non         |                                  OPEN STAR CLUSTER|
|SAI 72           |06 55 48|+00 13.3|      0.015|         0.050|         0.095|        |             |    3239|  8.485|             |            |                                  OPEN STAR CLUSTER|
|ASCC 78          |15 05 37|-68 24.3|      0.020|         0.100|         0.155|        |             |    3241|  9.380|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 41      |07 53 48|-26 57.9|      0.010|         0.060|         0.100|        |             |    3246|  8.865|             |            |                                  OPEN STAR CLUSTER|
|Teutsch 50       |08 07 09|-36 04.4|      0.010|         0.050|         0.090|        |             |    3254|  9.480|             |            |                                  OPEN STAR CLUSTER|
|FSR 1527         |10 06 32|-57 24.8|      0.010|         0.045|         0.085|        |             |    3258|  6.200|             |            |                                  OPEN STAR CLUSTER|
|FSR 1653         |13 33 50|-63 02.4|      0.020|         0.075|         0.120|        |             |    3258|  8.850|             |            |                                  OPEN STAR CLUSTER|
|vdBergh-Hagen 19 |08 07 04|-32 21.1|      0.010|         0.035|         0.080|        |             |    3259|  8.755|        0.101|            |                                  OPEN STAR CLUSTER|
|Berkeley 71      |05 40 57|+32 16.0|      0.020|         0.080|         0.135|        |             |    3260|  9.020|        0.034|            |                                  OPEN STAR CLUSTER|
|FSR 0080         |17 56 38|+00 03.5|      0.030|         0.083|         0.150|        |             |    3260|  9.500|             |            |                                  OPEN STAR CLUSTER|
|ESO 097-15       |14 15 25|-64 37.8|      0.020|         0.080|         0.120|        |             |    3274|  8.250|             |dub         |                                  OPEN STAR CLUSTER|
|ESO 231-30       |19 17 02|-51 28.8|      0.018|         0.115|         0.165|        |             |    3276|  9.500|             |            |                                  OPEN STAR CLUSTER|
|FSR 1561         |11 18 34|-53 47.4|      0.018|         0.105|         0.160|        |             |    3280|  9.115|        0.020|            |                                  OPEN STAR CLUSTER|
|NGC 6950         |20 41 04|+16 37.8|      0.012|         0.075|         0.148|        |             |    3280|  9.205|        0.035|non         |                                  OPEN STAR CLUSTER|
|Berkeley 51      |20 11 54|+34 24.6|      0.025|         0.090|         0.180|        |             |    3292|  8.255|             |            |                                  OPEN STAR CLUSTER|
|DBSB 131         |13 11 39|-62 33.2|      0.020|         0.035|         0.060|        |             |    3298|  6.500|             |irc         |                                             NEBULA|
|NGC 1893         |05 22 50|+33 25.8|      0.035|         0.100|         0.280|   -9.17|         1.42|    3300|  6.550|             |            |                                  OPEN STAR CLUSTER|
|FSR 0848         |06 34 27|+31 24.0|      0.010|         0.045|         0.110|        |             |    3300|  9.195|        0.064|            |                                  OPEN STAR CLUSTER|
|FSR 1399         |08 44 10|-39 21.9|      0.020|         0.070|         0.125|        |             |    3308|  8.300|             |            |                                  OPEN STAR CLUSTER|
|NGC 6222         |16 50 28|-44 43.8|      0.025|         0.060|         0.100|        |             |    3308|  6.600|             |ast         |                                  OPEN STAR CLUSTER|
|FSR 0123         |19 11 39|+12 03.0|      0.020|         0.070|         0.120|        |             |    3308|  8.760|             |irc         |                                  OPEN STAR CLUSTER|
|NGC 2266         |06 43 20|+26 59.1|      0.025|         0.070|         0.125|        |             |    3311|  9.265|        0.036|            |                                  OPEN STAR CLUSTER|
|Trumpler 20      |12 39 45|-60 38.1|      0.045|         0.200|         0.330|  -40.80|         0.40|    3311|  9.325|             |            |                                  OPEN STAR CLUSTER|
|Haffner 6        |07 20 03|-13 09.0|      0.018|         0.075|         0.135|        |             |    3320|  8.865|             |            |                                  OPEN STAR CLUSTER|
|FSR 0042         |17 14 06|-10 28.8|      0.015|         0.060|         0.120|        |             |    3320|  9.450|             |            |                                  OPEN STAR CLUSTER|
|SAI 91           |08 37 01|-50 02.4|      0.010|         0.065|         0.115|        |             |    3330|  8.830|             |            |                                  OPEN STAR CLUSTER|
|FSR 1602         |12 13 52|-56 47.1|      0.012|         0.075|         0.125|        |             |    3330|  9.100|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 130     |17 47 32|-30 05.4|      0.010|         0.055|         0.085|        |             |    3334|  8.520|             |            |                                             NEBULA|
|FSR 1569         |11 20 22|-56 49.0|      0.012|         0.055|         0.095|        |             |    3336|  9.200|             |            |                                  OPEN STAR CLUSTER|
|Sh2 287C         |06 59 37|-04 40.0|      0.015|         0.030|         0.060|        |             |    3344|  6.900|             |emb         |                                  OPEN STAR CLUSTER|
|FSR 0188         |20 01 59|+33 55.0|      0.015|         0.055|         0.100|        |             |    3354|  8.200|        0.100|irc         |                                  OPEN STAR CLUSTER|
|NGC 6216         |16 49 21|-44 43.2|      0.012|         0.070|         0.140|        |             |    3355|  6.700|             |            |                                  OPEN STAR CLUSTER|
|DBSB 159         |16 06 23|-50 43.5|      0.010|         0.045|         0.065|  -81.02|             |    3358|  6.620|             |irc         |                                  OPEN STAR CLUSTER|
|DBSB 3           |07 10 19|-18 29.2|      0.020|         0.070|         0.100|        |             |    3360|  7.000|             |irc         |                                  OPEN STAR CLUSTER|
|ESO 261-07       |09 24 36|-44 40.2|      0.010|         0.060|         0.110|        |             |    3360|  9.000|             |            |                                  OPEN STAR CLUSTER|
|DBSB 83          |13 11 20|-62 45.3|      0.010|         0.040|         0.060|  -31.32|             |    3360|  6.500|             |irc         |                                             NEBULA|
|FSR 1191         |06 52 29|-13 14.1|      0.012|         0.070|         0.110|        |             |    3361|  9.100|             |            |                                  OPEN STAR CLUSTER|
|NGC 6837         |19 53 06|+11 41.7|      0.020|         0.050|         0.100|        |             |    3367|  9.195|             |non         |                                  OPEN STAR CLUSTER|
|Teutsch 49       |07 18 26|-17 34.5|      0.015|         0.065|         0.110|        |             |    3369|  8.900|             |            |                                  OPEN STAR CLUSTER|
|Kronberger 79    |19 33 54|+18 31.7|      0.015|         0.050|         0.090|        |             |    3369|  8.390|             |            |                                  OPEN STAR CLUSTER|
|FSR 1429         |08 37 38|-46 01.0|      0.010|         0.065|         0.090|        |             |    3371|  8.200|             |irc         |                                  OPEN STAR CLUSTER|
|MWSC 5731        |20 02 50|-16 13.2|      0.018|         0.095|         0.155|        |             |    3377|  9.265|        0.028|            |                                  OPEN STAR CLUSTER|
|Ruprecht 141     |18 31 19|-12 19.6|      0.010|         0.053|         0.100|   30.70|         1.80|    3381|  6.550|             |            |                                  OPEN STAR CLUSTER|
|IRAS 15015-5720  |15 05 18|-57 31.7|      0.010|         0.030|         0.058|  -36.02|             |    3391|  6.400|             |irc         |                                             NEBULA|
|FSR 1751         |16 23 51|-32 00.6|      0.018|         0.060|         0.115|        |             |    3393|  9.415|             |            |                                  OPEN STAR CLUSTER|
|Berkeley 81      |19 01 37|-00 27.6|      0.012|         0.060|         0.110|   13.00|         4.24|    3401|  9.000|             |            |                                  OPEN STAR CLUSTER|
|Teutsch 84       |17 04 19|-42 04.2|      0.025|         0.085|         0.160|        |             |    3411|  8.995|        0.016|            |                                  OPEN STAR CLUSTER|
|Loden 1373       |14 41 35|-62 53.4|      0.025|         0.115|         0.170|        |             |    3412|  7.950|             |dub         |                                  OPEN STAR CLUSTER|
|Lynga 13         |16 48 56|-43 25.7|      0.010|         0.045|         0.075|        |             |    3412|  9.200|             |            |                                  OPEN STAR CLUSTER|
|Kharchenko 2     |18 22 21|-14 35.1|      0.030|         0.115|         0.190|        |             |    3412|  8.425|             |            |                                  OPEN STAR CLUSTER|
|FSR 0163         |20 00 21|+25 25.2|      0.010|         0.060|         0.110|        |             |    3412|  8.550|             |irc         |                                  OPEN STAR CLUSTER|
|ESO 211-01       |08 47 13|-52 03.9|      0.012|         0.065|         0.125|        |             |    3413|  8.760|        0.056|            |                                  OPEN STAR CLUSTER|
|FSR 1604         |12 21 52|-51 28.2|      0.020|         0.100|         0.165|        |             |    3414|  9.600|             |            |                                  OPEN STAR CLUSTER|
|Czernik 40       |19 42 38|+21 08.6|      0.012|         0.090|         0.155|        |             |    3422|  8.930|             |            |                                  OPEN STAR CLUSTER|
|FSR 0767         |04 47 38|+31 33.0|      0.020|         0.085|         0.165|        |             |    3423|  9.350|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 9       |07 02 07|-21 55.0|      0.020|         0.070|         0.125|        |             |    3434|  8.795|        0.054|non         |                                  OPEN STAR CLUSTER|
|Koposov 62       |06 18 02|+24 41.7|      0.010|         0.070|         0.130|        |             |    3435|  9.415|        0.026|            |                                  OPEN STAR CLUSTER|
|DBSB 53          |10 32 44|-61 37.2|      0.010|         0.055|         0.100|        |             |    3438|  8.100|             |irc         |                                             NEBULA|
|MWSC 5348        |17 19 07|+13 30.3|      0.012|         0.070|         0.110|        |             |    3440|  9.500|             |            |                                  OPEN STAR CLUSTER|
|BDSB 156         |19 31 44|+18 40.8|      0.018|         0.055|         0.080|        |             |    3447|  7.990|             |irc         |                                  OPEN STAR CLUSTER|
|FSR 0900         |06 06 28|+19 13.6|      0.015|         0.080|         0.155|        |             |    3465|  6.610|             |irc         |                                  OPEN STAR CLUSTER|
|FSR 1415         |08 40 23|-44 43.5|      0.018|         0.075|         0.120|        |             |    3473|  9.250|             |irc         |                                  OPEN STAR CLUSTER|
|ESO 065-07       |13 29 10|-71 15.9|      0.012|         0.065|         0.110|        |             |    3477|  9.400|             |dub         |                                  OPEN STAR CLUSTER|
|FSR 1734         |16 19 05|-42 07.7|      0.015|         0.070|         0.110|        |             |    3481|  9.500|             |            |                                  OPEN STAR CLUSTER|
|DBSB 106         |16 54 22|-45 17.9|      0.015|         0.040|         0.062|  -31.07|             |    3490|  6.400|             |irc         |                                  OPEN STAR CLUSTER|
|DBSB 45          |10 19 10|-58 02.7|      0.010|         0.032|         0.060|        |             |    3492|  7.700|             |irc         |                                             NEBULA|
|FSR 1572         |10 23 40|-69 49.5|      0.018|         0.062|         0.120|        |             |    3494|  9.350|             |            |                                  OPEN STAR CLUSTER|
|DBSB 12          |07 20 13|-27 46.3|      0.015|         0.055|         0.112|        |             |    3497|  8.470|             |irc         |                                  OPEN STAR CLUSTER|
|Ruprecht 135     |17 58 03|-11 40.6|      0.015|         0.045|         0.080|   -0.71|             |    3497|  9.500|             |            |                                  OPEN STAR CLUSTER|
|FSR 0077         |18 20 08|-04 05.2|      0.010|         0.060|         0.090|        |             |    3497|  9.480|             |            |                                  OPEN STAR CLUSTER|
|NGC 6366         |17 27 44|-05 04.8|      0.040|         0.230|         0.450| -122.20|         0.50|    3503| 10.000|             |glo         |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|FSR 1389         |09 12 10|-32 45.6|      0.010|         0.070|         0.140|        |             |    3508|  8.595|             |            |                                  OPEN STAR CLUSTER|
|Alessi 59        |06 52 21|+02 11.4|      0.015|         0.055|         0.110|        |             |    3511|  7.000|             |            |                                  OPEN STAR CLUSTER|
|MWSC 4178        |14 27 38|-44 56.7|      0.020|         0.115|         0.180|        |             |    3515|  9.300|             |            |                                  OPEN STAR CLUSTER|
|BDSB 18          |20 01 08|+33 11.3|      0.015|         0.042|         0.060|        |             |    3518|  7.000|             |irc         |                                  OPEN STAR CLUSTER|
|NGC 2506         |08 00 00|-10 45.6|      0.040|         0.180|         0.270|   87.00|         2.50|    3526|  9.210|        0.017|            |                                  OPEN STAR CLUSTER|
|FSR 1766         |17 34 34|-36 39.0|      0.010|         0.070|         0.115|        |             |    3540|  9.125|        0.019|            |                                  OPEN STAR CLUSTER|
|Ruprecht 66      |08 40 28|-38 03.3|      0.010|         0.065|         0.125|        |             |    3552|  8.910|        0.043|            |                                  OPEN STAR CLUSTER|
|DBSB 13          |08 12 14|-22 20.7|      0.010|         0.065|         0.100|        |             |    3558|  8.735|        0.059|irc         |                                  OPEN STAR CLUSTER|
|NGC 6480         |17 54 34|-30 26.5|      0.010|         0.045|         0.090|        |             |    3567|  7.725|        0.040|ast         |                                  OPEN STAR CLUSTER|
|vdBergh-Hagen 151|13 40 16|-61 43.8|      0.014|         0.045|         0.065|        |             |    3572|  6.600|             |            |                                             NEBULA|
|FSR 1541         |09 46 52|-64 37.9|      0.010|         0.060|         0.110|        |             |    3575|  9.400|             |            |                                  OPEN STAR CLUSTER|
|FSR 1598         |11 23 06|-75 00.9|      0.018|         0.060|         0.110|        |             |    3575|  9.700|             |            |                                  OPEN STAR CLUSTER|
|FSR 1732         |16 55 07|-49 19.5|      0.018|         0.070|         0.140|        |             |    3584|  9.300|             |irc         |                                  OPEN STAR CLUSTER|
|Ruprecht 25      |07 36 47|-23 21.3|      0.010|         0.055|         0.100|        |             |    3585|  8.895|        0.082|dub         |                                  OPEN STAR CLUSTER|
|FSR 1629         |12 34 55|-80 57.0|      0.020|         0.095|         0.170|        |             |    3597|  9.700|             |            |                                  OPEN STAR CLUSTER|
|Turner 6         |10 59 01|-59 29.0|      0.010|         0.045|         0.075|        |             |    3600|  6.600|             |            |                                  OPEN STAR CLUSTER|
|Teutsch 27       |19 37 22|+18 41.7|      0.012|         0.053|         0.090|        |             |    3600|  8.750|        0.046|            |                                  OPEN STAR CLUSTER|
|FSR 1651         |13 25 32|-58 59.1|      0.020|         0.090|         0.157|        |             |    3602|  9.400|             |irc         |                                  OPEN STAR CLUSTER|
|ESO 435-17       |09 58 46|-30 54.5|      0.010|         0.060|         0.100|        |             |    3603|  9.285|             |dub         |                                  OPEN STAR CLUSTER|
|Harvard 13       |17 03 51|-48 05.0|      0.020|         0.075|         0.110|        |             |    3612|  9.285|        0.020|            |                                  OPEN STAR CLUSTER|
|FSR 0925         |06 05 05|+16 06.0|      0.025|         0.130|         0.220|        |             |    3616|  8.200|             |            |                                  OPEN STAR CLUSTER|
|FSR 0161         |20 53 10|+16 53.5|      0.010|         0.050|         0.100|   28.80|         2.80|    3620|  9.500|             |            |                                  OPEN STAR CLUSTER|
|FSR 1342         |07 57 55|-31 30.5|      0.015|         0.065|         0.120|        |             |    3628|  8.290|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 152     |07 54 31|-38 13.2|      0.010|         0.060|         0.090|        |             |    3629|  9.285|        0.050|            |                                  OPEN STAR CLUSTER|
|Ruprecht 55      |08 12 34|-32 36.3|      0.018|         0.070|         0.130|   95.33|         2.57|    3640|  6.970|             |            |                                  OPEN STAR CLUSTER|
|vdBergh-Hagen 55 |08 56 11|-39 30.6|      0.020|         0.080|         0.140|        |             |    3642|  7.450|             |dub         |                                  OPEN STAR CLUSTER|
|FSR 1297         |07 23 58|-25 54.0|      0.010|         0.070|         0.130|        |             |    3654|  6.700|             |            |                                  OPEN STAR CLUSTER|
|Kronberger 3     |19 39 00|+06 46.1|      0.017|         0.045|         0.080|        |             |    3685|  8.300|             |ast         |                                  OPEN STAR CLUSTER|
|NGC 6507         |17 59 48|-17 25.1|      0.020|         0.080|         0.120|        |             |    3707|  9.200|             |            |                                  OPEN STAR CLUSTER|
|FSR 1556         |11 09 11|-53 30.0|      0.025|         0.060|         0.105|        |             |    3708|  8.900|             |            |                                  OPEN STAR CLUSTER|
|FSR 1210         |06 40 43|-17 09.6|      0.015|         0.075|         0.150|        |             |    3720|  9.300|             |            |                                  OPEN STAR CLUSTER|
|Kronberger 4     |19 45 09|+28 10.0|      0.011|         0.045|         0.085|        |             |    3731|  9.100|             |            |                                  OPEN STAR CLUSTER|
|FSR 0002         |17 32 32|-27 04.5|      0.010|         0.055|         0.090|        |             |    3739|  9.550|             |            |                                  OPEN STAR CLUSTER|
|DBSB 60          |11 05 37|-62 29.1|      0.010|         0.040|         0.055|        |             |    3740|  6.750|             |irc         |                                  OPEN STAR CLUSTER|
|FSR 1693         |15 25 50|-64 49.2|      0.025|         0.085|         0.140|        |             |    3743|  9.110|        0.042|            |                                  OPEN STAR CLUSTER|
|FSR 0878         |06 43 08|+27 09.9|      0.020|         0.065|         0.105|        |             |    3744|  9.200|             |            |                                  OPEN STAR CLUSTER|
|Berkeley 72      |05 50 19|+22 14.4|      0.010|         0.045|         0.095|        |             |    3753|  8.840|             |            |                                  OPEN STAR CLUSTER|
|MWSC 4375        |17 52 57|+09 30.9|      0.020|         0.125|         0.200|        |             |    3772|  9.375|             |            |                                  OPEN STAR CLUSTER|
|NGC 6885         |20 12 02|+26 30.9|      0.020|         0.100|         0.145|   -1.50|         0.87|    3776|  9.045|        0.018|            |                                  OPEN STAR CLUSTER|
|NGC 2401         |07 29 24|-13 58.3|      0.012|         0.045|         0.090|        |             |    3778|  7.000|             |            |                                  OPEN STAR CLUSTER|
|Teutsch 51       |05 53 50|+26 49.8|      0.020|         0.045|         0.120|        |             |    3787|  8.725|        0.034|            |                                  OPEN STAR CLUSTER|
|NGC 2635         |08 38 26|-34 46.5|      0.025|         0.085|         0.145|        |             |    3789|  8.730|        0.074|            |                                  OPEN STAR CLUSTER|
|NGC 2204         |06 15 33|-18 39.6|      0.010|         0.105|         0.155|   89.00|         1.80|    3790|  9.290|        0.018|            |                                  OPEN STAR CLUSTER|
|Alessi 57        |19 20 54|+15 41.1|      0.020|         0.050|         0.100|        |             |    3797|  8.650|             |            |                                  OPEN STAR CLUSTER|
|DBSB 175         |16 52 35|-43 23.8|      0.010|         0.035|         0.060|  -45.87|             |    3798|  6.000|             |irc         |                                  OPEN STAR CLUSTER|
|FSR 1371         |08 43 31|-31 43.0|      0.010|         0.050|         0.075|        |             |    3801|  9.350|             |            |                                  OPEN STAR CLUSTER|
|ESO 445-74       |13 54 39|-31 57.0|      0.015|         0.070|         0.100|        |             |    3802|  9.500|             |            |                                  OPEN STAR CLUSTER|
|FSR 0178         |20 13 10|+29 06.8|      0.010|         0.045|         0.085|        |             |    3810|  9.180|        0.029|irc         |                                  OPEN STAR CLUSTER|
|FSR 0842         |05 34 23|+25 33.8|      0.020|         0.070|         0.130|        |             |    3816|  6.550|             |irc         |                                  OPEN STAR CLUSTER|
|ESO 281-24       |18 39 59|-44 11.4|      0.011|         0.065|         0.110|        |             |    3830|  8.945|             |            |                                  OPEN STAR CLUSTER|
|NGC 2439         |07 40 48|-31 42.3|      0.020|         0.145|         0.270|   63.30|         0.60|    3834|  7.250|             |            |                                  OPEN STAR CLUSTER|
|FSR 1335         |08 12 00|-29 00.0|      0.013|         0.050|         0.095|        |             |    3835|  9.205|        0.064|            |                                  OPEN STAR CLUSTER|
|NGC 2324         |07 04 10|+01 02.3|      0.025|         0.145|         0.275|   41.81|         0.25|    3842|  8.680|             |            |                                  OPEN STAR CLUSTER|
|FSR 1683         |13 54 38|-41 46.1|      0.012|         0.110|         0.175|        |             |    3848|  9.170|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 35      |07 46 13|-31 17.0|      0.018|         0.055|         0.105|        |             |    3858|  8.440|        0.032|            |                                  OPEN STAR CLUSTER|
|Czernik 32       |07 50 30|-29 50.7|      0.022|         0.075|         0.160|        |             |    3858|  9.000|        0.017|            |                                  OPEN STAR CLUSTER|
|FSR 1407         |09 29 51|-33 50.1|      0.010|         0.070|         0.160|        |             |    3860|  9.300|             |            |                                  OPEN STAR CLUSTER|
|FSR 1405         |09 37 52|-31 36.9|      0.015|         0.100|         0.170|        |             |    3860|  9.500|             |            |                                  OPEN STAR CLUSTER|
|Trumpler 11      |10 04 54|-61 36.0|      0.018|         0.075|         0.120|        |             |    3884|  8.155|        0.003|            |                                  OPEN STAR CLUSTER|
|SAI 94           |08 44 41|-46 17.1|      0.010|         0.047|         0.090|   30.90|         1.78|    3886|  9.090|        0.036|            |                                  OPEN STAR CLUSTER|
|Ruprecht 21      |07 26 56|-31 09.3|      0.020|         0.090|         0.180|        |             |    3894|  8.650|             |non         |                                  OPEN STAR CLUSTER|
|NGC 2304         |06 55 12|+17 58.8|      0.022|         0.080|         0.150|   43.40|         0.35|    3896|  8.835|             |            |                                  OPEN STAR CLUSTER|
|DBSB 157         |16 12 20|-51 46.3|      0.015|         0.065|         0.120|  -67.33|             |    3917|  7.950|             |irc         |                                  OPEN STAR CLUSTER|
|FSR 0132         |19 40 10|+14 10.5|      0.020|         0.075|         0.115|        |             |    3918|  9.100|             |            |                                  OPEN STAR CLUSTER|
|FSR 0190         |20 05 29|+33 34.0|      0.010|         0.045|         0.085|        |             |    3924|  6.100|             |irc         |                                  OPEN STAR CLUSTER|
|Bica 4           |07 19 07|-22 01.2|      0.020|         0.070|         0.130|   19.00|         2.00|    3930|  8.125|        0.140|            |                                  OPEN STAR CLUSTER|
|FSR 0063         |18 15 07|-08 27.0|      0.010|         0.052|         0.095|        |             |    3940|  9.210|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5301        |15 45 09|-27 30.6|      0.020|         0.090|         0.150|        |             |    3950|  9.300|             |            |                                  OPEN STAR CLUSTER|
|MWSC 4511        |19 41 38|-24 27.3|      0.020|         0.100|         0.170|        |             |    3957|  9.500|             |            |                                  OPEN STAR CLUSTER|
|Melotte 72       |07 38 29|-10 42.0|      0.020|         0.125|         0.220|        |             |    3963|  8.865|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 149     |06 52 29|-23 39.5|      0.020|         0.060|         0.130|        |             |    3969|  9.300|             |dub         |                                  OPEN STAR CLUSTER|
|Loden 28         |10 03 13|-58 07.5|      0.010|         0.077|         0.130|        |             |    3973|  7.405|        0.001|            |                                  OPEN STAR CLUSTER|
|FSR 0062         |18 13 48|-08 42.5|      0.020|         0.060|         0.120|        |             |    3976|  9.000|             |            |                                  OPEN STAR CLUSTER|
|ESO 429-05       |07 37 03|-32 12.3|      0.015|         0.045|         0.085|        |             |    3978|  9.090|        0.027|            |                                  OPEN STAR CLUSTER|
|NGC 6838         |19 53 46|+18 46.7|      0.030|         0.115|         0.220|  -22.80|         0.20|    3999| 10.050|             |glo         |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|FSR 0741         |04 23 29|+33 33.3|      0.020|         0.080|         0.100|  -23.60|        15.16|    4000|  9.400|             |            |                                  OPEN STAR CLUSTER|
|SAI 48           |05 24 13|+33 28.6|      0.015|         0.065|         0.125|        |             |    4001|  8.950|             |            |                                  OPEN STAR CLUSTER|
|MWSC 4267        |16 29 26|-20 08.4|      0.022|         0.100|         0.165|        |             |    4001|  8.250|             |            |                                  OPEN STAR CLUSTER|
|NGC 6752         |19 10 52|-59 59.1|      0.050|         0.220|         0.420|  -26.70|         0.20|    4002| 10.100|             |glo         |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|NGC 2467-east    |07 52 35|-26 25.9|      0.010|         0.033|         0.060|   60.00|             |    4003|  6.415|             |irc         |                                             NEBULA|
|Ruprecht 59      |08 19 21|-34 29.7|      0.010|         0.050|         0.100|   12.50|         1.00|    4004|  6.800|             |            |                                  OPEN STAR CLUSTER|
|FSR 0041         |17 03 31|-08 50.3|      0.012|         0.085|         0.160|        |             |    4004|  9.500|             |            |                                  OPEN STAR CLUSTER|
|FSR 0140         |20 37 46|+09 58.1|      0.018|         0.070|         0.125|        |             |    4011|  9.450|             |            |                                  OPEN STAR CLUSTER|
|FSR 1654         |13 42 05|-67 42.0|      0.010|         0.055|         0.095|        |             |    4015|  8.780|        0.031|            |                                  OPEN STAR CLUSTER|
|Ruprecht 14      |07 14 52|-31 21.6|      0.015|         0.045|         0.090|        |             |    4023|  9.060|        0.038|non         |                                  OPEN STAR CLUSTER|
|FSR 0170         |20 07 43|+27 33.4|      0.010|         0.055|         0.105|        |             |    4023|  8.900|             |irc         |                                  OPEN STAR CLUSTER|
|Loden 1095       |13 53 37|-59 44.7|      0.012|         0.090|         0.125|        |             |    4028|  8.550|             |            |                                  OPEN STAR CLUSTER|
|FSR 1082         |06 40 07|-01 44.7|      0.020|         0.080|         0.165|        |             |    4040|  8.840|             |            |                                  OPEN STAR CLUSTER|
|FSR 1479         |07 57 38|-59 19.2|      0.016|         0.085|         0.135|        |             |    4055|  9.200|             |            |                                  OPEN STAR CLUSTER|
|DBSB 89          |14 45 02|-59 50.0|      0.010|         0.035|         0.065|        |             |    4069|  6.000|             |irc         |                                  OPEN STAR CLUSTER|
|DBSB 167         |16 23 26|-49 32.7|      0.018|         0.035|         0.055|        |             |    4076|  6.200|             |irc         |                                  OPEN STAR CLUSTER|
|Hogg 8           |10 29 17|-60 59.0|      0.012|         0.070|         0.105|        |             |    4078|  8.900|             |non         |                                  OPEN STAR CLUSTER|
|FSR 0043         |17 45 56|-14 39.6|      0.010|         0.055|         0.085|        |             |    4078|  9.100|             |            |                                  OPEN STAR CLUSTER|
|FSR 0067         |19 09 38|-13 54.0|      0.010|         0.077|         0.140|        |             |    4079|  9.100|             |            |                                  OPEN STAR CLUSTER|
|FSR 1785         |18 44 07|-36 56.5|      0.015|         0.055|         0.090|        |             |    4080|  9.400|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 77      |09 27 11|-55 07.4|      0.020|         0.075|         0.140|        |             |    4089|  7.950|        0.196|            |                                  OPEN STAR CLUSTER|
|Lynga 11         |16 38 08|-46 17.7|      0.015|         0.050|         0.085|        |             |    4101|  6.000|             |            |                                  OPEN STAR CLUSTER|
|FSR 1650         |13 35 39|-68 06.8|      0.012|         0.090|         0.155|        |             |    4103|  9.000|             |            |                                  OPEN STAR CLUSTER|
|FSR 1746         |16 50 42|-39 04.8|      0.020|         0.080|         0.140|        |             |    4103|  9.300|             |            |                                  OPEN STAR CLUSTER|
|FSR 1481         |09 59 20|-43 54.5|      0.020|         0.075|         0.155|        |             |    4104|  9.120|        0.026|            |                                  OPEN STAR CLUSTER|
|Shorlin 2        |11 05 33|-61 15.3|      0.010|         0.038|         0.060|        |             |    4129|  6.000|             |            |                                  OPEN STAR CLUSTER|
|vdBergh-Hagen 63 |09 20 39|-49 13.0|      0.015|         0.060|         0.105|        |             |    4131|  8.775|        0.066|            |                                  OPEN STAR CLUSTER|
|NGC 6698         |18 47 54|-25 52.6|      0.025|         0.083|         0.130|        |             |    4135|  9.200|        0.066|non         |                                  OPEN STAR CLUSTER|
|Ivanov 7         |07 30 39|-15 18.2|      0.010|         0.060|         0.125|        |             |    4141|  8.700|        0.046|            |                                  OPEN STAR CLUSTER|
|DBSB 6           |07 29 58|-19 06.0|      0.010|         0.055|         0.110|        |             |    4152|  6.550|             |irc         |                                  OPEN STAR CLUSTER|
