# Results from heasarc_mwsc : Milky Way Star Clusters Catalog
# Coordinate system :  Equatorial
# source :  https://heasarc.gsfc.nasa.gov/db-perl/W3Browse/w3table.pl?tablehead=name%3Dmwsc&Action=More+Options
# notes : queried for Dec < +35 deg
|name             |ra      |dec     |core_radius|central_radius|cluster_radius|rad_vel |rad_vel_error|distance|log_age|log_age_error|cluster_type|class                                              |
|Alessi 62        |18 55 52|+21 37.1|      0.030|         0.170|         0.270|        |             |     546|  8.950|        0.023|            |                                  OPEN STAR CLUSTER|
|ASCC 48          |08 34 39|-37 37.8|      0.020|         0.100|         0.170|   22.50|         0.01|     550|  9.185|        0.021|            |                                  OPEN STAR CLUSTER|
|ASCC 74          |13 35 49|-58 48.6|      0.015|         0.100|         0.180|        |             |     550|  8.630|        0.048|            |                                  OPEN STAR CLUSTER|
|Alessi 19        |18 19 08|+12 11.7|      0.030|         0.245|         0.480|   -5.10|         1.24|     550|  7.900|             |            |                                  OPEN STAR CLUSTER|
|ASCC 44          |08 01 55|-50 34.8|      0.015|         0.157|         0.240|   17.80|         2.80|     553|  7.900|             |            |                                  OPEN STAR CLUSTER|
|NGC 6124         |16 25 16|-40 39.0|      0.030|         0.225|         0.455|  -21.07|         0.19|     559|  8.285|             |            |                                  OPEN STAR CLUSTER|
|IC 4725          |18 31 43|-19 06.6|      0.035|         0.235|         0.380|   -1.81|        10.46|     561|  7.970|             |            |                                  OPEN STAR CLUSTER|
|ASCC 58          |10 15 02|-54 58.2|      0.050|         0.175|         0.310|    8.00|         3.70|     564|  7.200|             |            |                                  OPEN STAR CLUSTER|
|ASCC 89          |17 23 20|-62 39.0|      0.075|         0.460|         0.750|   12.30|         8.30|     567|  7.000|             |            |                          OB ASSOCIATION/HII REGION|
|ASCC 38          |07 27 00|-05 32.7|      0.020|         0.140|         0.245|        |             |     569|  8.600|             |            |                                  OPEN STAR CLUSTER|
|Loden 59         |10 30 16|-54 02.4|      0.010|         0.085|         0.140|        |             |     570|  8.300|             |            |                                  OPEN STAR CLUSTER|
|NGC 1647         |04 45 59|+19 10.2|      0.035|         0.450|         0.750|   -6.12|         0.39|     572|  8.300|        0.057|            |                                  OPEN STAR CLUSTER|
|NGC 3228         |10 21 25|-51 43.8|      0.010|         0.110|         0.180|  -22.39|         0.15|     573|  8.420|             |            |                                  OPEN STAR CLUSTER|
|Pismis 4         |08 34 41|-44 29.7|      0.010|         0.095|         0.150|   27.24|         0.92|     575|  8.155|             |            |                                             NEBULA|
|Ruprecht 27      |07 37 42|-26 30.4|      0.020|         0.130|         0.235|   10.90|         1.20|     576|  8.410|             |            |                                  OPEN STAR CLUSTER|
|ESO 175-06       |14 18 47|-56 53.4|      0.020|         0.110|         0.195|  -27.90|             |     586|  8.600|             |            |                                  OPEN STAR CLUSTER|
|ASCC 97          |18 36 54|-19 13.2|      0.030|         0.150|         0.340|        |             |     591|  7.880|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 139     |18 00 59|-23 32.1|      0.015|         0.090|         0.155|        |             |     593|  9.050|             |            |                                  OPEN STAR CLUSTER|
|Alessi 21        |07 10 41|-09 18.0|      0.020|         0.130|         0.320|   38.80|         1.80|     596|  7.700|             |            |                                  OPEN STAR CLUSTER|
|NGC 6828         |19 50 15|+07 54.3|      0.020|         0.100|         0.215|  -21.00|             |     603|  8.250|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 98      |11 58 52|-64 35.3|      0.020|         0.140|         0.280|   -7.60|         1.70|     610|  8.800|             |            |                                  OPEN STAR CLUSTER|
|B 35             |05 43 41|+09 05.7|      0.020|         0.235|         0.550|   14.20|             |     612|  8.920|             |irc         |                                  OPEN STAR CLUSTER|
