|              Name | RAh | RAm |  RAs | DE- | DEd | DEm | DEs | TT |  SFRa |  KLum |    DM |   Dist |  n_clust |                                  reference |  
|               MB3 |   2 |  55 | 43.6 |   + |  58 |  51 |  42 | 10 | -4.07 |  8.09 | 27.39 |  3.006 |          |                                            |
|        ESO154-023 |   2 |  56 | 50.4 |   - |  54 |  34 |  23 |  8 | -1.37 |  8.89 | 28.72 |  5.546 |          |                                            |
|               Dw1 |   2 |  56 | 56.1 |   + |  58 |  54 |  42 |  3 |  -1.1 | 10.36 | 27.24 |  2.805 |          |                                            |
|           NGC1156 |   2 |  59 | 42.4 |   + |  25 |  14 |  15 |  8 | -0.48 |  9.31 | 29.46 |  7.798 |          |                                            |
|     LV J0300+2546 |   3 |   0 | 39.3 |   + |  25 |  46 |  56 | 10 | -3.09 |  7.34 | 29.46 |  7.798 |          |                                            |
|             KKH18 |   3 |   3 |  5.9 |   + |  33 |  41 |  40 | 10 | -3.27 |  7.21 | 28.23 |  4.426 |          |                                            |
|        ESO300-014 |   3 |   9 | 37.8 |   - |  41 |   1 |  50 |  8 | -1.42 |   9.3 | 29.96 |  9.817 |          |                                            |
|        ESO300-016 |   3 |  10 | 10.5 |   - |  40 |   0 |  11 | 10 | -2.77 |  7.94 | 29.72 |   8.79 |          |                                            |
|           NGC1291 |   3 |  17 | 18.6 |   - |  41 |   6 |  29 |  1 | -0.41 | 10.94 | 29.72 |   8.79 |          |                                            |
|           NGC1313 |   3 |  18 | 15.4 |   - |  66 |  29 |  51 |  7 | -0.32 |  9.52 | 28.05 |  4.074 |          |                                            |
|           NGC1311 |   3 |  20 |  7.4 |   - |  52 |  11 |   6 |  8 | -1.61 |  8.38 | 28.58 |    5.2 |          |                                            |
|          UGC02684 |   3 |  20 | 23.7 |   + |  17 |  17 |  42 | 10 | -2.84 |  7.57 | 29.06 |  6.486 |          |                                            |
|              KK27 |   3 |  21 |  3.0 |   - |  66 |  19 |  11 | 10 |   0.0 |  6.98 |  28.0 |  3.981 |          |                                            |
|            IC1959 |   3 |  33 | 11.8 |   - |  50 |  24 |  38 |  8 |  -1.4 |  8.47 | 28.91 |  6.053 |          |                                            |
|           NGC1400 |   3 |  39 | 30.8 |   - |  18 |  41 |  17 | -3 |   0.0 | 10.98 | 31.95 | 24.547 |          |                                            |
|             KKH22 |   3 |  44 | 56.6 |   + |  72 |   3 |  52 | 10 |   0.0 |   6.8 | 27.72 |  3.499 |          |                                            |
|              KK35 |   3 |  45 | 12.6 |   + |  67 |  51 |  50 | 10 | -1.61 |  7.97 |  27.5 |  3.162 |          |                                            |
|            IC0342 |   3 |  46 | 48.9 |   + |  68 |   5 |  45 |  6 | -0.26 |  10.6 | 27.58 |  3.281 |          |                                            |
|          UGC02905 |   3 |  57 |  0.6 |   + |  16 |  31 |  28 | 10 | -2.59 |  8.02 | 28.83 |  5.834 |          |                                            |
|           UGCA086 |   3 |  59 | 49.5 |   + |  67 |   7 |  31 |  8 | -1.14 |  9.13 | 27.36 |  2.965 |          |                                            |
|            IC2038 |   4 |   8 | 54.1 |   - |  55 |  59 |  32 |  7 |   0.0 |  9.08 | 31.42 | 19.231 |          |                                            |
|           NGC1533 |   4 |   9 | 51.8 |   - |  56 |   7 |   6 |  1 | -0.28 | 10.85 | 31.44 | 19.409 |          |                                            |
|        ESO483-013 |   4 |  12 | 41.1 |   - |  23 |   9 |  32 |  9 | -1.82 |  8.72 | 29.35 |  7.413 |          |                                            |
|              CamA |   4 |  25 | 15.6 |   + |  72 |  48 |  21 | 10 | -2.83 |  7.88 | 27.97 |  3.926 |          |                                            |
|           NGC1592 |   4 |  29 | 40.8 |   - |  27 |  24 |  31 | 10 |   0.0 |  8.17 |  29.8 |   9.12 |          |                                            |
|           NGC1569 |   4 |  30 | 49.1 |   + |  64 |  50 |  53 |  8 | -0.11 |  9.37 | 27.43 |  3.062 |          |                                            |
|           UGCA092 |   4 |  32 |  0.3 |   + |  63 |  36 |  50 | 10 | -1.63 |  7.98 | 27.39 |  3.006 |          |                                            |
|           NGC1560 |   4 |  32 | 49.9 |   + |  71 |  52 |  52 |  7 | -1.31 |  8.72 | 27.69 |  3.451 |          |                                            |
|           NGC1637 |   4 |  41 | 28.2 |   - |   2 |  51 |  29 |  6 | -0.48 | 10.07 | 29.84 |   9.29 |          |                                            |
|              CamB |   4 |  53 |  6.9 |   + |  67 |   5 |  57 | 10 | -3.33 |  7.05 | 27.62 |  3.342 |          |                                            |
|           NGC1705 |   4 |  54 | 13.7 |   - |  53 |  21 |  41 |  9 | -1.08 |  8.52 | 28.54 |  5.105 |          |                                            |
|   HIPASS J0457-42 |   4 |  56 | 58.7 |   - |  42 |  48 |  14 | 10 | -2.22 |  8.21 | 29.29 |  7.211 |          |                                            |
|           NGC1744 |   4 |  59 | 58.2 |   - |  26 |   1 |  36 |  7 | -0.59 |  9.42 |  30.0 |   10.0 |          |                                            |
|        ESO486-021 |   5 |   3 | 19.7 |   - |  25 |  25 |  23 |  9 | -1.48 |  8.74 |  30.0 |   10.0 |          |                                            |
|           NGC1800 |   5 |   6 | 25.7 |   - |  31 |  57 |  15 |  9 | -1.25 |  9.04 | 29.52 |  8.017 |          |                                            |
|           UGCA105 |   5 |  14 | 15.1 |   + |  62 |  34 |  51 |  8 | -1.29 |  9.08 | 27.49 |  3.148 |          |                                            |
|               LMC |   5 |  23 | 34.6 |   - |  69 |  45 |  22 |  9 | -0.52 |  9.42 |  18.5 |   0.05 |          |                                            |
|          UGC03303 |   5 |  24 | 59.5 |   + |   4 |  30 |  18 |  8 | -1.11 |  8.75 | 29.27 |  7.145 |          |                                            |
|             Orion |   5 |  45 |  2.0 |   + |   5 |   4 |   6 |  8 | -1.09 |  8.68 | 29.05 |  6.457 |          |                                            |
|          A0554+07 |   5 |  57 | 36.7 |   + |   7 |  29 |  31 | 10 | -2.91 |  7.39 |  28.7 |  5.495 |          |                                            |
|             KKH34 |   5 |  59 | 41.2 |   + |  73 |  25 |  39 | 10 |  -3.9 |  7.17 | 28.32 |  4.613 |          |                                            |
|   HIPASS J0607-34 |   6 |   7 | 19.7 |   - |  34 |  12 |  16 |  9 | -1.89 |  8.46 | 29.35 |  7.413 |          |                                            |
|           NGC2188 |   6 |  10 |  9.5 |   - |  34 |   6 |  22 |  8 | -0.94 |  9.26 | 29.35 |  7.413 |          |                                            |
|        ESO121-020 |   6 |  15 | 54.5 |   - |  57 |  43 |  35 | 10 |   0.0 |  7.78 | 28.91 |  6.053 |          |                                            |
|     LV J0616-5745 |   6 |  16 |  9.2 |   - |  57 |  45 |  55 | 10 |   0.0 |  7.07 | 28.89 |  5.998 |          |                                            |
|        UGCA127sat |   6 |  20 | 54.8 |   - |   8 |  39 |   1 | 10 | -2.04 |  8.76 | 29.65 |  8.511 |          |                                            |
|           UGCA127 |   6 |  20 | 55.7 |   - |   8 |  29 |  44 |  6 |  0.12 |  10.0 | 29.65 |  8.511 |          |                                            |
|      WHI B0619-07 |   6 |  22 | 13.8 |   - |   7 |  50 |  16 |  8 | -1.45 |  9.45 | 29.62 |  8.395 |          |                                            |
|          UGC03475 |   6 |  30 | 28.8 |   + |  39 |  30 |  14 |  6 | -1.03 |  8.94 | 31.51 | 20.045 |          |                                            |
|          UGC03476 |   6 |  30 | 29.2 |   + |  33 |  18 |   7 | 10 | -1.85 |  7.96 | 29.23 |  7.015 |          |                                            |
|        ESO490-017 |   6 |  37 | 56.6 |   - |  25 |  59 |  59 | 10 | -2.06 |  7.78 | 28.13 |  4.227 |          |                                            |
|         CGMW1-260 |   6 |  38 |  0.1 |   - |  15 |   1 |  22 |  8 | -1.24 |  9.44 | 30.17 | 10.814 |          |                                            |
|          UGC03501 |   6 |  38 | 38.4 |   + |  49 |  15 |  30 | 10 |   0.0 |  8.15 | 30.95 | 15.488 |          |                                            |
|            Carina |   6 |  41 | 36.7 |   - |  50 |  57 |  58 | -3 |   0.0 |  6.54 |  20.0 |    0.1 |          |                                            |
|            IC2171 |   6 |  44 | 27.3 |   - |  17 |  55 |  57 |  8 | -1.14 |  9.05 | 29.98 |  9.908 |          |                                            |
|           NGC2283 |   6 |  45 | 52.7 |   - |  18 |  12 |  37 |  6 | -0.12 |  9.84 |  30.0 |   10.0 |          |                                            |
|             KKSG9 |   6 |  46 | 56.9 |   - |  17 |  56 |  29 |  9 | -1.87 |  8.72 |  30.0 |   10.0 |          |                                            |
|             KKH37 |   6 |  47 | 45.8 |   + |  80 |   7 |  26 | 10 | -3.85 |  6.88 | 27.65 |  3.388 |          |                                            |
|          UGC03600 |   6 |  55 | 40.0 |   + |  39 |   5 |  42 |  8 | -2.73 |  7.76 |  29.3 |  7.244 |          |                                            |
|             FG202 |   7 |   5 | 17.1 |   - |  58 |  31 |  14 | 10 |  -2.2 |  7.86 | 28.45 |  4.898 |          |                                            |
|        ESO558-011 |   7 |   6 | 56.8 |   - |  22 |   2 |  26 |  8 | -1.61 |  9.14 | 29.62 |  8.395 |          |                                            |
|          UGC03698 |   7 |   9 | 18.8 |   + |  44 |  22 |  48 | 10 | -2.24 |  7.98 |  29.3 |  7.244 |          |                                            |
|           NGC2337 |   7 |  10 | 13.6 |   + |  44 |  27 |  25 |  9 | -0.98 |  8.98 | 29.48 |   7.87 |          |                                            |
|          UGC03755 |   7 |  13 | 51.8 |   + |  10 |  31 |  19 | 10 | -1.84 |   8.4 | 29.35 |  7.413 |          |                                            |
|          UGC03817 |   7 |  22 | 44.5 |   + |  45 |   6 |  30 | 10 |  -2.2 |  8.43 | 29.66 |  8.551 |          |                                            |
|            DDO043 |   7 |  28 | 17.2 |   + |  40 |  46 |  13 | 10 | -2.42 |  7.61 | 28.79 |  5.728 |          |                                            |
|           NGC2366 |   7 |  28 | 54.6 |   + |  69 |  12 |  19 | 10 | -0.98 |  8.67 | 27.52 |  3.192 |          |                                            |
