SR1868  0.022 0.008 -0.824 0.500 3.208 0.027
SR1870  0.020 0.002 -0.398 0.184 3.241 0.092
SR1872  2.510 0.580 -2.301 0.150 4.812 0.011
SR1874  3.980 0.460  0.477 0.040 5.231 0.008
SR1875  0.251 0.162 -0.523 0.738 3.908 0.369
SR1877  0.158 0.081 -1.602 1.111 2.601 0.193
SR1880  0.355 0.109  0.477 0.040 4.308 0.213
SR1887  1.780 0.210  0.398 0.238 5.614 0.069
SR1888  0.794 0.219 -1.824 0.350 4.691 0.060
SR1892  0.022 0.005 -1.602 0.650 2.921 0.029
SR1896  0.794 0.185 -1.301 0.228 4.684 0.028
SR1897 12.600 2.330 -1.155 0.316 5.793 0.043
SR1899  1.780 0.550 -2.000 0.301 4.236 0.170
SR1900  1.260 0.145 -1.699 0.335 4.345 0.016
SR1901  0.126 0.105 -0.699 0.967 3.915 0.097
SR1904  0.063 0.027  0.477 0.539 3.083 0.044
SR1905  0.016 0.002  0.477 0.040 2.678 0.178
SR1909  0.025 0.003 -0.699 0.111 3.136 0.004
SR1911  1.780 0.210  0.477 0.040 5.073 0.365
SR1912  3.550 1.690 -2.301 0.150 4.943 0.056
SR1915  1.780 0.550 -1.456 0.500 4.612 0.005
SR1918  1.580 0.295 -2.000 0.301 4.153 0.059
SR1919  1.410 0.230 -0.071 0.287 4.368 0.018
SR1921  0.018 0.003 -0.155 0.850 2.582 0.069
SR1922  3.550 1.690 -2.301 0.238 4.485 0.034
SR1923  0.282 0.124 -2.000 0.301 3.756 0.118
SR1931  0.025 0.004 -0.699 0.111 2.884 0.007
SR1932  1.260 0.145 -1.699 0.412 3.935 0.066
SR1937  0.056 0.020 -1.301 0.223 3.463 0.041
SR1939 11.200 3.490 -2.301 0.238 4.827 0.021
SR1941  0.794 0.250 -1.602 0.122 4.042 0.044
SR1944  5.620 2.680 -2.301 0.150 4.575 0.007
SR1950  0.032 0.013 -1.699 0.199 3.589 0.025
SR1953  0.028 0.005 -0.398 0.423 3.843 0.031
SR1955  1.000 0.163 -0.301 0.199 4.898 0.062
SR1957  0.045 0.026 -1.602 0.350 4.030 0.203
SR1959  1.410 0.160 -2.000 0.301 4.586 0.005
SR1961 11.200 1.300  0.301 0.111 5.986 0.009
SR1962  0.028 0.005 -1.602 0.122 2.924 0.135
SR1965  1.120 0.205  0.176 0.150 5.068 0.073
SR1967 12.600 0.700  0.477 0.040 5.212 0.132
SR1970  0.562 0.176 -2.301 0.150 4.970 0.101
SR1973  2.820 1.250 -1.301 0.301 4.420 0.061
SR1976  0.447 0.157 -0.125 1.000 3.628 0.060
SR1977  0.020 0.002 -1.602 0.122 2.686 0.124
SR1978  0.631 0.336 -2.301 0.238 4.313 0.091
SR0197  1.260 0.205  0.477 0.040 4.323 0.157
SR1980  0.020 0.002 -1.602 0.122 2.764 0.072
SR1982 12.600 0.700  0.477 0.040 6.372 0.074
SR1984  7.940 3.795 -2.301 0.150 5.069 0.004
SR1985  1.260 0.205  0.398 0.150 5.177 0.095
SR1987  0.004 0.002 -1.602 0.122 3.406 0.129
SR1988  0.355 0.109  0.477 0.040 4.500 0.066
SR1993  3.550 1.690 -2.301 0.150 4.493 0.020
SR1995  1.260 0.205  0.176 0.150 5.195 0.039
SR1996  2.820 0.325  0.000 0.238 4.810 0.011
SR1997  0.020 0.004 -1.155 0.316 3.640 0.018
SR1998  2.000 0.230  0.477 0.040 5.545 0.110
SR1999  1.580 0.260 -2.000 0.238 4.459 0.010
SR2000  0.028 0.004 -0.699 0.213 2.861 0.085
SR2001  7.940 3.795 -2.301 0.150 5.759 0.023
SR2002  3.980 0.460  0.477 0.040 4.914 0.138
SR2003 12.600 1.300 -0.602 0.213 5.995 0.032
SR2004  1.410 0.160 -2.000 0.301 4.757 0.039
SR2005  1.410 0.260 -1.824 0.573 4.264 0.058
SR2011  1.780 0.415 -2.301 0.150 4.243 0.054
SR2013 11.200 2.330 -0.699 0.588 5.080 0.008
SR2016  5.620 2.195 -0.523 0.772 5.353 0.029
SR2018 12.600 1.845  0.398 0.088 5.002 0.066
SR2020  0.045 0.018 -1.699 0.199 4.061 0.128
SR2023  2.240 0.365 -0.602 0.213 5.010 0.068
SR2024  2.820 0.460  0.000 0.150 4.861 0.005
SR2026  0.020 0.002 -0.155 0.163 3.120 0.122
SR2029  1.000 0.349 -2.301 0.150 3.756 0.194
SR2030  0.794 0.185 -0.125 0.287 3.583 0.026
SR2033  0.028 0.004 -0.699 0.150 3.332 0.059
SR2035  0.020 0.002 -1.602 0.122 3.154 0.095
SR0203  2.510 0.775 -2.301 0.150 4.107 0.082
SR2042  0.014 0.003  0.477 0.040 2.498 0.044
SR2043  0.251 0.110 -0.523 0.500 4.081 0.297
SR2046  2.240 0.365 -1.000 0.378 4.898 0.064
SR2047  0.025 0.004 -0.699 0.111 3.063 0.024
SR2048  0.050 0.021  0.477 0.438 2.964 0.054
SR0204 10.000 3.145 -1.824 0.350 5.230 0.029
SR2050  0.028 0.012 -1.155 0.316 4.234 0.178
SR2054  0.891 0.349 -2.301 0.238 4.325 0.016
SR2057 10.000 2.760 -2.000 0.301 4.372 0.022
SR2058  0.028 0.060 -0.824 0.423 2.963 0.042
SR2061  0.631 0.222 -1.456 0.301 3.925 0.038
SR2063  0.708 0.164  0.301 0.238 4.290 0.089
SR2066  1.410 0.230 -1.602 0.122 4.669 0.076
SR2072  1.580 0.185 -0.824 0.150 4.687 0.112
SR2075  1.260 0.230  0.176 0.199 5.137 0.045
SR2086  0.025 0.004 -0.699 0.111 3.240 0.035
SR2092  7.940 2.790 -2.301 0.150 4.471 0.145
SR2094 12.600 0.700  0.477 0.040 5.672 0.042
SR2095  0.028 0.032 -0.699 0.150 3.520 0.021
SR2096  0.282 0.065  0.301 0.301 3.536 0.053
SR2101  0.040 0.019 -1.155 0.223 3.240 0.063
SR2103  1.000 0.163  0.301 0.199 5.484 0.183
SR2106  2.820 0.460 -0.155 0.262 4.730 0.053
SR2107  0.708 0.222 -1.699 0.199 4.108 0.057
SR2110  1.580 0.295  0.477 0.040 5.087 0.036
SR2113  6.310 1.765  0.477 0.040 4.958 0.021
SR2114  0.013 0.007 -1.602 0.122 2.451 0.079
SR2115  3.980 2.035 -2.301 0.238 4.745 0.035
SR2116  0.022 0.004 -0.699 0.650 2.568 0.048
SR2119  0.045 0.022 -1.602 0.412 3.512 0.191
SR2121 12.600 1.300 -0.699 0.301 4.645 0.183
SR2126  0.016 0.003  0.477 0.088
